sample_index,time_sec,channel,value
0,0.0,ecg,0.113301
1,0.00391,ecg,0.024243
2,0.00781,ecg,0.091894
3,0.01172,ecg,0.158168
4,0.01562,ecg,0.158701
5,0.01953,ecg,0.087636
6,0.02344,ecg,0.017679
7,0.02734,ecg,0.044469
8,0.03125,ecg,0.00113
9,0.03516,ecg,-0.006723
10,0.03906,ecg,0.227294
11,0.04297,ecg,0.235856
12,0.04688,ecg,0.443916
13,0.05078,ecg,0.828846
14,0.05469,ecg,0.976678
15,0.05859,ecg,0.997481
16,0.0625,ecg,0.77818
17,0.06641,ecg,0.473094
18,0.07031,ecg,0.307274
19,0.07422,ecg,0.117138
20,0.07812,ecg,0.129616
21,0.08203,ecg,0.195048
22,0.08594,ecg,0.200744
23,0.08984,ecg,0.284163
24,0.09375,ecg,0.263208
25,0.09766,ecg,0.275232
26,0.10156,ecg,0.195121
27,0.10547,ecg,0.207018
28,0.10938,ecg,0.102979
29,0.11328,ecg,0.19332
30,0.11719,ecg,-0.006312
31,0.12109,ecg,0.045567
32,0.125,ecg,0.062686
33,0.12891,ecg,-0.033385
34,0.13281,ecg,-0.047878
35,0.13672,ecg,0.058094
36,0.14062,ecg,-0.049412
37,0.14453,ecg,0.037505
38,0.14844,ecg,0.095405
39,0.15234,ecg,0.045337
40,0.15625,ecg,-0.022542
41,0.16016,ecg,-0.006032
42,0.16406,ecg,0.015539
43,0.16797,ecg,-0.036849
44,0.17188,ecg,-0.015278
45,0.17578,ecg,-0.073467
46,0.17969,ecg,0.055775
47,0.18359,ecg,-0.023658
48,0.1875,ecg,0.01854
49,0.19141,ecg,0.017126
50,0.19531,ecg,0.050324
51,0.19922,ecg,0.025004
52,0.20312,ecg,0.058177
53,0.20703,ecg,0.033971
54,0.21094,ecg,-0.054449
55,0.21484,ecg,-0.012607
56,0.21875,ecg,-0.047647
57,0.22266,ecg,-0.072065
58,0.22656,ecg,-0.056622
59,0.23047,ecg,0.014609
60,0.23438,ecg,-0.017011
61,0.23828,ecg,0.063632
62,0.24219,ecg,-0.10045
63,0.24609,ecg,0.076247
64,0.25,ecg,-0.038004
65,0.25391,ecg,0.047891
66,0.25781,ecg,-0.065374
67,0.26172,ecg,-0.077186
68,0.26562,ecg,-0.043432
69,0.26953,ecg,0.101645
70,0.27344,ecg,-0.000143
71,0.27734,ecg,-0.028714
72,0.28125,ecg,-0.013299
73,0.28516,ecg,0.047591
74,0.28906,ecg,0.007379
75,0.29297,ecg,0.011547
76,0.29688,ecg,-0.028328
77,0.30078,ecg,0.021736
78,0.30469,ecg,-0.016981
79,0.30859,ecg,-0.026317
80,0.3125,ecg,-0.002493
81,0.31641,ecg,0.087143
82,0.32031,ecg,0.131837
83,0.32422,ecg,-0.050834
84,0.32812,ecg,-0.040563
85,0.33203,ecg,0.136322
86,0.33594,ecg,0.083741
87,0.33984,ecg,-0.021347
88,0.34375,ecg,-0.074185
89,0.34766,ecg,0.036486
90,0.35156,ecg,0.132322
91,0.35547,ecg,-0.026873
92,0.35938,ecg,-0.033841
93,0.36328,ecg,-0.040522
94,0.36719,ecg,0.071883
95,0.37109,ecg,-0.109222
96,0.375,ecg,0.030703
97,0.37891,ecg,-0.068132
98,0.38281,ecg,-0.010961
99,0.38672,ecg,-0.017638
100,0.39062,ecg,0.037297
101,0.39453,ecg,-0.07336
102,0.39844,ecg,0.002664
103,0.40234,ecg,0.02782
104,0.40625,ecg,0.003108
105,0.41016,ecg,0.040096
106,0.41406,ecg,0.053802
107,0.41797,ecg,-0.032475
108,0.42188,ecg,0.039923
109,0.42578,ecg,-0.004943
110,0.42969,ecg,0.0744
111,0.43359,ecg,-0.05081
112,0.4375,ecg,0.000588
113,0.44141,ecg,-0.048427
114,0.44531,ecg,-0.008355
115,0.44922,ecg,-0.013671
116,0.45312,ecg,-0.030159
117,0.45703,ecg,-0.08022
118,0.46094,ecg,-0.007912
119,0.46484,ecg,0.048625
120,0.46875,ecg,0.11679
121,0.47266,ecg,0.064521
122,0.47656,ecg,0.032786
123,0.48047,ecg,0.027718
124,0.48438,ecg,0.072392
125,0.48828,ecg,-0.018783
126,0.49219,ecg,0.04699
127,0.49609,ecg,0.013969
128,0.5,ecg,0.100016
129,0.50391,ecg,-0.015539
130,0.50781,ecg,0.065054
131,0.51172,ecg,-0.152533
132,0.51562,ecg,-0.034031
133,0.51953,ecg,-0.041647
134,0.52344,ecg,-0.007448
135,0.52734,ecg,0.076563
136,0.53125,ecg,0.062975
137,0.53516,ecg,0.031784
138,0.53906,ecg,-0.052961
139,0.54297,ecg,-0.013487
140,0.54688,ecg,-0.070725
141,0.55078,ecg,-0.027849
142,0.55469,ecg,-0.041962
143,0.55859,ecg,-0.02667
144,0.5625,ecg,0.061588
145,0.56641,ecg,-0.081049
146,0.57031,ecg,0.075863
147,0.57422,ecg,0.021597
148,0.57812,ecg,-0.061839
149,0.58203,ecg,-0.070323
150,0.58594,ecg,0.016394
151,0.58984,ecg,0.025602
152,0.59375,ecg,-0.00119
153,0.59766,ecg,-0.063171
154,0.60156,ecg,-0.009749
155,0.60547,ecg,-0.019697
156,0.60938,ecg,-0.057131
157,0.61328,ecg,-0.007805
158,0.61719,ecg,0.047816
159,0.62109,ecg,0.065082
160,0.625,ecg,0.032193
161,0.62891,ecg,0.013102
162,0.63281,ecg,0.00652
163,0.63672,ecg,0.006854
164,0.64062,ecg,0.051614
165,0.64453,ecg,-0.047316
166,0.64844,ecg,-0.041056
167,0.65234,ecg,-0.06162
168,0.65625,ecg,-0.010489
169,0.66016,ecg,0.06307
170,0.66406,ecg,0.00271
171,0.66797,ecg,0.12854
172,0.67188,ecg,0.065528
173,0.67578,ecg,0.209119
174,0.67969,ecg,0.185849
175,0.68359,ecg,0.073456
176,0.6875,ecg,0.133586
177,0.69141,ecg,0.13838
178,0.69531,ecg,0.103174
179,0.69922,ecg,0.038339
180,0.70312,ecg,0.123709
181,0.70703,ecg,0.249484
182,0.71094,ecg,0.492772
183,0.71484,ecg,0.778809
184,0.71875,ecg,0.911134
185,0.72266,ecg,1.042424
186,0.72656,ecg,0.780955
187,0.73047,ecg,0.553988
188,0.73438,ecg,0.257736
189,0.73828,ecg,0.038768
190,0.74219,ecg,0.092556
191,0.74609,ecg,0.207814
192,0.75,ecg,0.234822
193,0.75391,ecg,0.205109
194,0.75781,ecg,0.316096
195,0.76172,ecg,0.321364
196,0.76562,ecg,0.157142
197,0.76953,ecg,0.25906
198,0.77344,ecg,0.132454
199,0.77734,ecg,0.121052
200,0.78125,ecg,-0.028919
201,0.78516,ecg,-0.030126
202,0.78906,ecg,-0.042998
203,0.79297,ecg,0.01485
204,0.79688,ecg,-0.073513
205,0.80078,ecg,-0.1759
206,0.80469,ecg,0.031411
207,0.80859,ecg,-0.05652
208,0.8125,ecg,0.046791
209,0.81641,ecg,-0.067561
210,0.82031,ecg,-0.077783
211,0.82422,ecg,-0.049799
212,0.82812,ecg,-0.112248
213,0.83203,ecg,-0.046599
214,0.83594,ecg,-0.014698
215,0.83984,ecg,-0.031956
216,0.84375,ecg,-0.020909
217,0.84766,ecg,0.02686
218,0.85156,ecg,-0.026665
219,0.85547,ecg,0.036009
220,0.85938,ecg,-0.016389
221,0.86328,ecg,0.100355
222,0.86719,ecg,-0.087475
223,0.87109,ecg,-0.077645
224,0.875,ecg,-0.001913
225,0.87891,ecg,0.031537
226,0.88281,ecg,0.0222
227,0.88672,ecg,0.076056
228,0.89062,ecg,-0.032141
229,0.89453,ecg,-0.008384
230,0.89844,ecg,-0.029266
231,0.90234,ecg,-0.029746
232,0.90625,ecg,-0.006212
233,0.91016,ecg,-0.081632
234,0.91406,ecg,0.049537
235,0.91797,ecg,0.007075
236,0.92188,ecg,0.014495
237,0.92578,ecg,0.06917
238,0.92969,ecg,-0.004025
239,0.93359,ecg,-0.030881
240,0.9375,ecg,-0.043829
241,0.94141,ecg,-0.087789
242,0.94531,ecg,0.043736
243,0.94922,ecg,-0.038838
244,0.95312,ecg,0.00016
245,0.95703,ecg,0.049972
246,0.96094,ecg,0.077675
247,0.96484,ecg,0.005997
248,0.96875,ecg,-0.078299
249,0.97266,ecg,-0.026453
250,0.97656,ecg,-0.052986
251,0.98047,ecg,-0.070759
252,0.98438,ecg,0.024612
253,0.98828,ecg,-0.069471
254,0.99219,ecg,-0.039373
255,0.99609,ecg,-0.067921
256,1.0,ecg,0.009992
257,1.00391,ecg,-0.086825
258,1.00781,ecg,-0.00575
259,1.01172,ecg,-0.065851
260,1.01562,ecg,0.021206
261,1.01953,ecg,-0.005189
262,1.02344,ecg,-0.055844
263,1.02734,ecg,0.021502
264,1.03125,ecg,0.037907
265,1.03516,ecg,0.030264
266,1.03906,ecg,-0.065565
267,1.04297,ecg,0.020339
268,1.04688,ecg,0.048017
269,1.05078,ecg,-0.011657
270,1.05469,ecg,-0.053618
271,1.05859,ecg,0.018844
272,1.0625,ecg,0.007682
273,1.06641,ecg,-0.01446
274,1.07031,ecg,0.028813
275,1.07422,ecg,-0.073821
276,1.07812,ecg,0.044181
277,1.08203,ecg,0.050047
278,1.08594,ecg,-0.044741
279,1.08984,ecg,-0.022125
280,1.09375,ecg,0.023969
281,1.09766,ecg,0.049415
282,1.10156,ecg,-0.077524
283,1.10547,ecg,0.067079
284,1.10938,ecg,-0.061212
285,1.11328,ecg,0.012404
286,1.11719,ecg,-0.044175
287,1.12109,ecg,0.013985
288,1.125,ecg,-0.013813
289,1.12891,ecg,-0.017874
290,1.13281,ecg,0.001774
291,1.13672,ecg,-0.065389
292,1.14062,ecg,0.043957
