sample_index,time_sec,channel,value
0,0.0,ecg,0.089824
1,0.00391,ecg,-0.00752
2,0.00781,ecg,0.138388
3,0.01172,ecg,0.138897
4,0.01562,ecg,0.162134
5,0.01953,ecg,0.13997
6,0.02344,ecg,0.172097
7,0.02734,ecg,0.082806
8,0.03125,ecg,0.106818
9,0.03516,ecg,0.055829
10,0.03906,ecg,0.107476
11,0.04297,ecg,0.220112
12,0.04688,ecg,0.421354
13,0.05078,ecg,0.72728
14,0.05469,ecg,0.974568
15,0.05859,ecg,0.954187
16,0.0625,ecg,0.707095
17,0.06641,ecg,0.414901
18,0.07031,ecg,0.158413
19,0.07422,ecg,0.017082
20,0.07812,ecg,0.038713
21,0.08203,ecg,0.154017
22,0.08594,ecg,0.162605
23,0.08984,ecg,0.146369
24,0.09375,ecg,0.237325
25,0.09766,ecg,0.252007
26,0.10156,ecg,0.248523
27,0.10547,ecg,0.229631
28,0.10938,ecg,0.237241
29,0.11328,ecg,0.15281
30,0.11719,ecg,-0.085393
31,0.12109,ecg,0.017062
32,0.125,ecg,-0.020647
33,0.12891,ecg,0.00602
34,0.13281,ecg,-0.042263
35,0.13672,ecg,0.007715
36,0.14062,ecg,-0.010727
37,0.14453,ecg,0.067375
38,0.14844,ecg,-0.002959
39,0.15234,ecg,0.025258
40,0.15625,ecg,-0.06418
41,0.16016,ecg,-0.034247
42,0.16406,ecg,-0.028198
43,0.16797,ecg,0.097854
44,0.17188,ecg,0.020756
45,0.17578,ecg,0.024323
46,0.17969,ecg,-0.022101
47,0.18359,ecg,-0.036388
48,0.1875,ecg,-0.01694
49,0.19141,ecg,0.016649
50,0.19531,ecg,0.097878
51,0.19922,ecg,-0.028531
52,0.20312,ecg,-0.021477
53,0.20703,ecg,-0.034781
54,0.21094,ecg,0.096016
55,0.21484,ecg,0.009571
56,0.21875,ecg,0.105183
57,0.22266,ecg,0.001345
58,0.22656,ecg,0.000146
59,0.23047,ecg,-0.06228
60,0.23438,ecg,0.094947
61,0.23828,ecg,-0.030128
62,0.24219,ecg,-0.01402
63,0.24609,ecg,-0.052349
64,0.25,ecg,-0.007038
65,0.25391,ecg,-0.102935
66,0.25781,ecg,-0.030599
67,0.26172,ecg,0.030268
68,0.26562,ecg,-0.012254
69,0.26953,ecg,-0.049581
70,0.27344,ecg,-0.012227
71,0.27734,ecg,0.01157
72,0.28125,ecg,-0.041935
73,0.28516,ecg,-0.017669
74,0.28906,ecg,-0.110187
75,0.29297,ecg,0.012829
76,0.29688,ecg,0.036379
77,0.30078,ecg,-0.004144
78,0.30469,ecg,0.012625
79,0.30859,ecg,-0.003363
80,0.3125,ecg,0.016469
81,0.31641,ecg,-0.113073
82,0.32031,ecg,-0.035657
83,0.32422,ecg,0.025719
84,0.32812,ecg,-0.014325
85,0.33203,ecg,-0.008526
86,0.33594,ecg,0.029471
87,0.33984,ecg,-0.042188
88,0.34375,ecg,-0.004262
89,0.34766,ecg,-0.040845
90,0.35156,ecg,-0.06571
91,0.35547,ecg,0.012813
92,0.35938,ecg,0.010611
93,0.36328,ecg,0.053395
94,0.36719,ecg,-0.119054
95,0.37109,ecg,-0.03046
96,0.375,ecg,0.020378
97,0.37891,ecg,-0.037486
98,0.38281,ecg,0.06666
99,0.38672,ecg,-0.055922
100,0.39062,ecg,0.05923
101,0.39453,ecg,-0.02545
102,0.39844,ecg,-0.04284
103,0.40234,ecg,-0.008428
104,0.40625,ecg,0.046122
105,0.41016,ecg,0.025995
106,0.41406,ecg,-0.022359
107,0.41797,ecg,0.052333
108,0.42188,ecg,0.062725
109,0.42578,ecg,0.02433
110,0.42969,ecg,-0.0118
111,0.43359,ecg,0.000762
112,0.4375,ecg,-0.03408
113,0.44141,ecg,-0.069594
114,0.44531,ecg,0.063285
115,0.44922,ecg,0.042258
116,0.45312,ecg,-0.040308
117,0.45703,ecg,0.020383
118,0.46094,ecg,0.012939
119,0.46484,ecg,0.037553
120,0.46875,ecg,-0.027393
121,0.47266,ecg,0.012396
122,0.47656,ecg,-0.084069
123,0.48047,ecg,-0.002736
124,0.48438,ecg,0.108605
125,0.48828,ecg,-0.081487
126,0.49219,ecg,0.022554
127,0.49609,ecg,0.041447
128,0.5,ecg,-0.066398
129,0.50391,ecg,0.0123
130,0.50781,ecg,-0.041934
131,0.51172,ecg,0.055311
132,0.51562,ecg,-0.039417
133,0.51953,ecg,-0.026233
134,0.52344,ecg,-0.027904
135,0.52734,ecg,-0.064976
136,0.53125,ecg,0.105703
137,0.53516,ecg,0.057911
138,0.53906,ecg,0.082929
139,0.54297,ecg,-0.013806
140,0.54688,ecg,0.034121
141,0.55078,ecg,0.019606
142,0.55469,ecg,-0.03382
143,0.55859,ecg,0.021099
144,0.5625,ecg,-0.040061
145,0.56641,ecg,-0.074975
146,0.57031,ecg,-0.045937
147,0.57422,ecg,0.087202
148,0.57812,ecg,-0.068204
149,0.58203,ecg,0.011258
150,0.58594,ecg,-0.018183
151,0.58984,ecg,-0.028641
152,0.59375,ecg,0.032983
153,0.59766,ecg,-0.013993
154,0.60156,ecg,0.048101
155,0.60547,ecg,0.061385
156,0.60938,ecg,0.107434
157,0.61328,ecg,0.060408
158,0.61719,ecg,0.11897
159,0.62109,ecg,0.107027
160,0.625,ecg,0.170354
161,0.62891,ecg,0.093254
162,0.63281,ecg,0.028716
163,0.63672,ecg,0.075442
164,0.64062,ecg,0.008477
165,0.64453,ecg,0.11697
166,0.64844,ecg,0.28798
167,0.65234,ecg,0.483484
168,0.65625,ecg,0.802099
169,0.66016,ecg,0.955405
170,0.66406,ecg,1.022486
171,0.66797,ecg,0.779412
172,0.67188,ecg,0.442049
173,0.67578,ecg,0.183594
174,0.67969,ecg,0.142327
175,0.68359,ecg,0.135509
176,0.6875,ecg,0.213168
177,0.69141,ecg,0.202837
178,0.69531,ecg,0.174787
179,0.69922,ecg,0.225364
180,0.70312,ecg,0.265085
181,0.70703,ecg,0.287172
182,0.71094,ecg,0.246982
183,0.71484,ecg,0.162394
184,0.71875,ecg,0.153039
185,0.72266,ecg,-0.02043
186,0.72656,ecg,0.061809
187,0.73047,ecg,-0.057532
188,0.73438,ecg,0.020365
189,0.73828,ecg,-0.070157
190,0.74219,ecg,-0.02556
191,0.74609,ecg,-0.028381
192,0.75,ecg,0.16984
193,0.75391,ecg,-0.036639
194,0.75781,ecg,-0.046199
195,0.76172,ecg,0.040714
196,0.76562,ecg,0.02522
197,0.76953,ecg,0.011449
198,0.77344,ecg,0.040724
199,0.77734,ecg,-0.010264
200,0.78125,ecg,0.004641
201,0.78516,ecg,-0.01173
202,0.78906,ecg,-0.012693
203,0.79297,ecg,0.005439
204,0.79688,ecg,0.041386
205,0.80078,ecg,0.052179
206,0.80469,ecg,-0.033261
207,0.80859,ecg,0.050804
208,0.8125,ecg,-0.000544
209,0.81641,ecg,0.022328
210,0.82031,ecg,-0.055975
211,0.82422,ecg,-0.058386
212,0.82812,ecg,0.029299
213,0.83203,ecg,-0.031317
214,0.83594,ecg,0.038168
215,0.83984,ecg,0.007822
216,0.84375,ecg,0.002588
217,0.84766,ecg,0.080633
218,0.85156,ecg,0.057452
219,0.85547,ecg,0.006529
220,0.85938,ecg,-0.018279
221,0.86328,ecg,0.012353
222,0.86719,ecg,-0.098528
223,0.87109,ecg,-0.010685
224,0.875,ecg,0.024628
225,0.87891,ecg,0.020307
226,0.88281,ecg,0.028436
227,0.88672,ecg,0.013132
228,0.89062,ecg,-0.016154
229,0.89453,ecg,0.04333
230,0.89844,ecg,0.022118
231,0.90234,ecg,-0.012147
232,0.90625,ecg,0.018692
