sample_index,time_sec,channel,value
0,0.0,ecg,0.133224
1,0.00391,ecg,0.052653
2,0.00781,ecg,0.107638
3,0.01172,ecg,0.15275
4,0.01562,ecg,0.108485
5,0.01953,ecg,0.148034
6,0.02344,ecg,0.13233
7,0.02734,ecg,0.018261
8,0.03125,ecg,0.126833
9,0.03516,ecg,0.078723
10,0.03906,ecg,0.048288
11,0.04297,ecg,0.207688
12,0.04688,ecg,0.483098
13,0.05078,ecg,0.741772
14,0.05469,ecg,0.957096
15,0.05859,ecg,0.896571
16,0.0625,ecg,0.782569
17,0.06641,ecg,0.464027
18,0.07031,ecg,0.229988
19,0.07422,ecg,0.003233
20,0.07812,ecg,0.215309
21,0.08203,ecg,0.178202
22,0.08594,ecg,0.186287
23,0.08984,ecg,0.334479
24,0.09375,ecg,0.245785
25,0.09766,ecg,0.175521
26,0.10156,ecg,0.212764
27,0.10547,ecg,0.091229
28,0.10938,ecg,0.222955
29,0.11328,ecg,0.11195
30,0.11719,ecg,-0.037128
31,0.12109,ecg,0.053624
32,0.125,ecg,-0.082554
33,0.12891,ecg,0.026771
34,0.13281,ecg,-0.103221
35,0.13672,ecg,-0.033108
36,0.14062,ecg,-0.060211
37,0.14453,ecg,0.073099
38,0.14844,ecg,0.088308
39,0.15234,ecg,-0.016471
40,0.15625,ecg,0.042037
41,0.16016,ecg,-0.008999
42,0.16406,ecg,0.028403
43,0.16797,ecg,-0.037642
44,0.17188,ecg,-0.085417
45,0.17578,ecg,-0.090155
46,0.17969,ecg,0.019156
47,0.18359,ecg,0.11238
48,0.1875,ecg,0.013471
49,0.19141,ecg,-0.02623
50,0.19531,ecg,0.095601
51,0.19922,ecg,0.011865
52,0.20312,ecg,0.005072
53,0.20703,ecg,0.012629
54,0.21094,ecg,-0.006619
55,0.21484,ecg,-0.015474
56,0.21875,ecg,-0.071748
57,0.22266,ecg,0.025081
58,0.22656,ecg,-0.004739
59,0.23047,ecg,0.059654
60,0.23438,ecg,-0.018441
61,0.23828,ecg,-0.095318
62,0.24219,ecg,-0.004981
63,0.24609,ecg,0.084977
64,0.25,ecg,-0.019171
65,0.25391,ecg,-0.044493
66,0.25781,ecg,-0.05968
67,0.26172,ecg,-0.052501
68,0.26562,ecg,-0.01501
69,0.26953,ecg,-0.058999
70,0.27344,ecg,0.074882
71,0.27734,ecg,-0.014132
72,0.28125,ecg,0.005432
73,0.28516,ecg,0.071912
74,0.28906,ecg,0.075166
75,0.29297,ecg,-0.010637
