sample_index,time_sec,channel,value
0,0.0,ecg,0.108639
1,0.00391,ecg,0.035141
2,0.00781,ecg,0.150127
3,0.01172,ecg,0.140858
4,0.01562,ecg,0.214525
5,0.01953,ecg,0.170811
6,0.02344,ecg,0.139308
7,0.02734,ecg,0.120632
8,0.03125,ecg,0.076034
9,0.03516,ecg,0.027679
10,0.03906,ecg,0.17295
11,0.04297,ecg,0.2138
12,0.04688,ecg,0.436289
13,0.05078,ecg,0.727886
14,0.05469,ecg,0.914965
15,0.05859,ecg,0.941316
16,0.0625,ecg,0.729332
17,0.06641,ecg,0.458123
18,0.07031,ecg,0.208051
19,0.07422,ecg,0.077736
20,0.07812,ecg,0.063049
21,0.08203,ecg,0.127557
22,0.08594,ecg,0.201993
23,0.08984,ecg,0.213581
24,0.09375,ecg,0.267398
25,0.09766,ecg,0.213726
26,0.10156,ecg,0.214358
27,0.10547,ecg,0.207301
28,0.10938,ecg,0.088995
29,0.11328,ecg,0.135244
30,0.11719,ecg,0.01733
31,0.12109,ecg,0.035416
32,0.125,ecg,0.005803
33,0.12891,ecg,0.000168
34,0.13281,ecg,0.039153
35,0.13672,ecg,-0.092042
36,0.14062,ecg,-0.005038
37,0.14453,ecg,0.054968
38,0.14844,ecg,0.023324
39,0.15234,ecg,0.032002
40,0.15625,ecg,0.045441
41,0.16016,ecg,0.019122
42,0.16406,ecg,-0.112482
43,0.16797,ecg,-0.012237
44,0.17188,ecg,0.0198
45,0.17578,ecg,-0.066117
46,0.17969,ecg,-0.050539
47,0.18359,ecg,-0.033896
48,0.1875,ecg,-0.025379
49,0.19141,ecg,0.00404
50,0.19531,ecg,0.042529
51,0.19922,ecg,-0.019633
52,0.20312,ecg,0.021282
53,0.20703,ecg,-0.019225
54,0.21094,ecg,-0.013252
55,0.21484,ecg,-0.014031
56,0.21875,ecg,0.028707
57,0.22266,ecg,0.068102
58,0.22656,ecg,-0.039794
59,0.23047,ecg,0.023427
60,0.23438,ecg,-0.005996
61,0.23828,ecg,0.028602
62,0.24219,ecg,-0.041672
63,0.24609,ecg,-0.113157
64,0.25,ecg,-0.002692
65,0.25391,ecg,0.011476
66,0.25781,ecg,-0.003623
67,0.26172,ecg,-0.088564
68,0.26562,ecg,-0.048994
69,0.26953,ecg,0.049405
70,0.27344,ecg,-0.056622
71,0.27734,ecg,-0.094048
72,0.28125,ecg,-0.104988
73,0.28516,ecg,-0.131356
74,0.28906,ecg,0.036383
75,0.29297,ecg,0.003727
76,0.29688,ecg,-0.036305
77,0.30078,ecg,-0.023903
78,0.30469,ecg,0.132364
79,0.30859,ecg,0.046482
80,0.3125,ecg,0.000843
81,0.31641,ecg,0.045237
82,0.32031,ecg,-0.030451
83,0.32422,ecg,-0.11705
84,0.32812,ecg,-0.013699
85,0.33203,ecg,-0.035233
86,0.33594,ecg,-0.109816
87,0.33984,ecg,0.082392
88,0.34375,ecg,0.012339
89,0.34766,ecg,0.03047
90,0.35156,ecg,-0.074131
91,0.35547,ecg,0.022858
92,0.35938,ecg,0.005176
93,0.36328,ecg,-0.013444
94,0.36719,ecg,0.015855
95,0.37109,ecg,-0.004116
96,0.375,ecg,-0.037115
97,0.37891,ecg,-0.070433
98,0.38281,ecg,-0.04518
99,0.38672,ecg,-0.020542
100,0.39062,ecg,-0.032892
101,0.39453,ecg,0.073178
102,0.39844,ecg,-0.059458
103,0.40234,ecg,0.023404
104,0.40625,ecg,0.02442
105,0.41016,ecg,-0.031077
106,0.41406,ecg,-0.020802
107,0.41797,ecg,0.050475
108,0.42188,ecg,0.017732
109,0.42578,ecg,0.119081
110,0.42969,ecg,-0.051481
111,0.43359,ecg,0.038527
112,0.4375,ecg,-0.022204
113,0.44141,ecg,0.023875
114,0.44531,ecg,-0.043061
115,0.44922,ecg,0.094778
116,0.45312,ecg,-0.014449
117,0.45703,ecg,0.058874
118,0.46094,ecg,0.065141
119,0.46484,ecg,0.018737
120,0.46875,ecg,-0.098924
121,0.47266,ecg,0.021433
122,0.47656,ecg,0.024817
123,0.48047,ecg,-0.011447
124,0.48438,ecg,0.076299
125,0.48828,ecg,-0.051838
126,0.49219,ecg,-0.020413
127,0.49609,ecg,-0.030288
128,0.5,ecg,-0.016857
129,0.50391,ecg,0.095493
130,0.50781,ecg,0.020911
131,0.51172,ecg,0.060917
132,0.51562,ecg,-0.028709
133,0.51953,ecg,0.034283
134,0.52344,ecg,-0.076844
135,0.52734,ecg,0.032698
136,0.53125,ecg,0.08069
137,0.53516,ecg,-0.007807
138,0.53906,ecg,-0.068994
139,0.54297,ecg,0.020874
140,0.54688,ecg,-0.112879
141,0.55078,ecg,0.017738
142,0.55469,ecg,-0.029247
143,0.55859,ecg,0.077263
144,0.5625,ecg,0.04023
145,0.56641,ecg,-0.066248
146,0.57031,ecg,0.039905
147,0.57422,ecg,-0.002499
148,0.57812,ecg,0.051604
149,0.58203,ecg,-0.050083
150,0.58594,ecg,-0.067074
151,0.58984,ecg,-0.070725
152,0.59375,ecg,0.049982
153,0.59766,ecg,-0.031387
154,0.60156,ecg,0.025263
155,0.60547,ecg,-0.040644
156,0.60938,ecg,0.022669
157,0.61328,ecg,0.0419
158,0.61719,ecg,0.037224
159,0.62109,ecg,0.017058
160,0.625,ecg,-0.02158
161,0.62891,ecg,-0.071551
162,0.63281,ecg,0.002449
163,0.63672,ecg,0.016637
164,0.64062,ecg,-0.015034
165,0.64453,ecg,0.097572
166,0.64844,ecg,-0.013949
167,0.65234,ecg,-0.016335
168,0.65625,ecg,0.135574
169,0.66016,ecg,0.026757
170,0.66406,ecg,0.024528
171,0.66797,ecg,0.040478
172,0.67188,ecg,0.007438
173,0.67578,ecg,0.036322
174,0.67969,ecg,-0.005692
175,0.68359,ecg,0.044222
176,0.6875,ecg,0.079231
177,0.69141,ecg,0.069505
178,0.69531,ecg,-0.036105
179,0.69922,ecg,-0.010552
180,0.70312,ecg,0.083129
181,0.70703,ecg,0.104573
182,0.71094,ecg,0.007898
183,0.71484,ecg,-0.029479
184,0.71875,ecg,-0.109803
185,0.72266,ecg,-0.040512
186,0.72656,ecg,0.06876
187,0.73047,ecg,0.106783
188,0.73438,ecg,0.040755
189,0.73828,ecg,0.144498
190,0.74219,ecg,0.142444
191,0.74609,ecg,0.150012
192,0.75,ecg,0.223679
193,0.75391,ecg,0.099585
194,0.75781,ecg,0.095433
195,0.76172,ecg,0.088035
196,0.76562,ecg,0.139636
197,0.76953,ecg,0.191118
198,0.77344,ecg,0.400421
199,0.77734,ecg,0.698523
200,0.78125,ecg,1.010389
201,0.78516,ecg,1.000853
202,0.78906,ecg,0.765401
203,0.79297,ecg,0.398015
204,0.79688,ecg,0.151324
205,0.80078,ecg,0.154647
206,0.80469,ecg,0.10799
207,0.80859,ecg,0.128637
208,0.8125,ecg,0.228305
209,0.81641,ecg,0.235638
210,0.82031,ecg,0.383941
211,0.82422,ecg,0.250204
212,0.82812,ecg,0.295962
213,0.83203,ecg,0.183682
214,0.83594,ecg,0.203196
215,0.83984,ecg,0.146728
216,0.84375,ecg,0.061611
217,0.84766,ecg,0.065371
218,0.85156,ecg,-0.004685
219,0.85547,ecg,-0.00157
220,0.85938,ecg,-0.063638
221,0.86328,ecg,-0.050464
222,0.86719,ecg,0.039107
223,0.87109,ecg,-0.016639
224,0.875,ecg,0.049563
225,0.87891,ecg,-0.036148
226,0.88281,ecg,-0.0124
227,0.88672,ecg,-0.014608
228,0.89062,ecg,-0.001542
229,0.89453,ecg,0.062236
230,0.89844,ecg,-0.026436
231,0.90234,ecg,0.099027
232,0.90625,ecg,0.034436
233,0.91016,ecg,0.050398
234,0.91406,ecg,0.058891
235,0.91797,ecg,-0.020491
236,0.92188,ecg,-0.025278
237,0.92578,ecg,-0.030951
238,0.92969,ecg,-0.051978
239,0.93359,ecg,-0.022711
240,0.9375,ecg,0.025295
241,0.94141,ecg,0.023349
242,0.94531,ecg,-0.017639
243,0.94922,ecg,-0.110323
244,0.95312,ecg,-0.038566
245,0.95703,ecg,0.050686
246,0.96094,ecg,0.086059
247,0.96484,ecg,-0.103642
248,0.96875,ecg,0.055147
249,0.97266,ecg,-0.098778
250,0.97656,ecg,-0.064713
251,0.98047,ecg,-0.010412
252,0.98438,ecg,0.021638
253,0.98828,ecg,-0.047652
254,0.99219,ecg,0.037666
255,0.99609,ecg,0.067921
256,1.0,ecg,0.030892
257,1.00391,ecg,0.092242
258,1.00781,ecg,0.002567
259,1.01172,ecg,0.073821
260,1.01562,ecg,-0.012079
261,1.01953,ecg,0.026388
262,1.02344,ecg,0.009215
263,1.02734,ecg,0.122267
264,1.03125,ecg,-0.011673
265,1.03516,ecg,-0.045556
266,1.03906,ecg,0.053514
267,1.04297,ecg,-0.045341
268,1.04688,ecg,0.08265
269,1.05078,ecg,0.004974
270,1.05469,ecg,0.11737
271,1.05859,ecg,-0.021917
272,1.0625,ecg,0.029954
273,1.06641,ecg,-0.061505
274,1.07031,ecg,-0.075092
275,1.07422,ecg,-0.017621
276,1.07812,ecg,0.021093
277,1.08203,ecg,0.059044
278,1.08594,ecg,0.079583
279,1.08984,ecg,-0.001765
280,1.09375,ecg,-0.044386
281,1.09766,ecg,-0.015282
282,1.10156,ecg,-0.014609
283,1.10547,ecg,-0.018317
284,1.10938,ecg,-0.03888
285,1.11328,ecg,-0.062345
286,1.11719,ecg,-0.08401
287,1.12109,ecg,0.023963
288,1.125,ecg,0.091314
289,1.12891,ecg,-0.040128
290,1.13281,ecg,0.041666
291,1.13672,ecg,0.074245
292,1.14062,ecg,-0.091699
293,1.14453,ecg,-0.064244
294,1.14844,ecg,-0.054319
295,1.15234,ecg,0.049906
296,1.15625,ecg,0.040301
297,1.16016,ecg,-0.064602
298,1.16406,ecg,0.004153
299,1.16797,ecg,0.125872
300,1.17188,ecg,0.007195
301,1.17578,ecg,-0.07697
302,1.17969,ecg,-0.021356
303,1.18359,ecg,0.027938
304,1.1875,ecg,0.103465
305,1.19141,ecg,-0.037561
